"State","Category","Reading_Score","Reading_Rank","Math_Score","Math_Rank"
"AK","2009",-0.706856709505046,12,0.00721518721672062,21
"AK","2019",-2.20610652677756,2,-1.17892432579916,7
"AK","Difference",-1.78230816963171,2,-1.90445341143457,1
"AL","2009",-1.47001195122628,8,-1.9124056877206,2
"AL","2019",-1.98556620017075,3,-2.14226503390954,1
"AL","Difference",-0.106115931577506,25,0.531753824591048,36
"AR","2009",-0.94160001500181,11,-0.924361972233083,11
"AR","2019",-0.813979013907057,11,-1.17458267778729,8
"AR","Difference",0.565486040080484,34,0.0340551167041296,24
"AZ","2009",-1.01756141110363,10,-0.748204117411769,12
"AZ","2019",-0.662182079106772,14,-0.222368698646072,20
"AZ","Difference",0.911973156682409,42,1.19494463629671,47
"CA","2009",-1.84937356707943,2,-1.65804290910302,5
"CA","2019",-0.803756140803171,12,-0.961577540942122,10
"CA","Difference",2.21051410221661,50,1.89667231032103,48
"CO","2009",0.309251451668545,27,0.578895963616509,36
"CO","2019",1.04104477573619,43,0.58708592229935,32
"CO","Difference",0.884730217014861,40,-0.259355870900405,19
"CT","2009",1.36445759432661,47,0.742209766004851,41
"CT","2019",1.56576418543702,48,0.842357199807084,41
"CT","Difference",-0.285059262407965,23,-0.188843808481618,21
"DE","2009",0.223093409074579,25,0.110549421377269,22
"DE","2019",-0.618868880554945,15,-0.774557445403569,14
"DE","Difference",-1.25703232363438,7,-1.47061907574952,5
"FL","2009",0.116362270332111,21,-0.483463861970708,17
"FL","2019",0.1804072607987,29,-0.463238330490038,16
"FL","Difference",0.0405464448111762,28,0.259978932388489,30
"GA","2009",-0.573620166386612,16,-0.717947358092502,13
"GA","2019",-0.0298934660892755,20,-0.297151796478636,17
"GA","Difference",0.989193608455982,43,1.01235283235616,44
"HI","2009",-1.49619794413853,6,-1.22054767082344,7
"HI","2019",-0.949678338923249,9,-1.00871079870313,9
"HI","Difference",1.37411842531725,46,0.914019520431782,43
"IA","2009",0.204519671445852,24,0.155581515588216,24
"IA","2019",-0.0423111123105751,19,0.0747591243853529,26
"IA","Difference",-0.42597416072569,18,-0.202767283177517,20
"ID","2009",0.195983352070271,23,0.569948844402718,35
"ID","2019",0.861549338003705,41,0.805297704030517,40
"ID","Difference",0.839886399759589,38,0.108929072129263,25
"IL","2009",0.141826820613285,22,-0.0742358995106834,19
"IL","2019",0.472666459541341,36,0.227633840900112,29
"IL","Difference",0.399148867282543,31,0.51875694386791,35
"IN","2009",0.339099573842709,30,0.504491838837962,34
"IN","2019",0.74669643127979,39,0.755236604345335,37
"IN","Difference",0.423863954399541,32,0.164414637232783,27
"KS","2009",0.52481658783398,32,0.740609096146957,40
"KS","2019",0.064316520427732,25,0.167433449898189,27
"KS","Difference",-0.853888691110691,9,-1.26724315372048,7
"KY","2009",0.533949371960825,33,-0.490211034224296,16
"KY","2019",0.0957566922609242,26,-0.535559927200142,15
"KY","Difference",-0.826797791219581,10,0.15805690719355,26
"LA","2009",-1.73247111093574,3,-1.40277464994857,6
"LA","2019",-1.11011977523522,7,-1.63942091067508,3
"LA","Difference",1.57662449828023,47,0.28099662018354,31
"MA","2009",1.6625952751674,50,2.09643276273437,50
"MA","2019",2.30427979279268,50,2.26426182639631,50
"MA","Difference",0.20107738023729,30,-0.717791615178654,12
"MD","2009",0.608357700745612,37,0.706926414957523,39
"MD","2019",0.405941285571267,34,-0.185810015761562,22
"MD","Difference",-0.531326147911414,16,-1.76355750949604,2
"ME","2009",0.676801528504085,38,0.445205360791082,32
"ME","2019",0.575589049024423,38,0.194265633008383,28
"ME","Difference",-0.419576733807882,19,-0.61174269819964,14
"MI","2009",-0.296518035563171,19,-0.624505187426021,15
"MI","2019",0.012276079211054,23,-0.162464864703483,23
"MI","Difference",0.549701649293508,33,1.03447435294093,46
"MN","2009",1.01753009776988,42,1.51341394485865,49
"MN","2019",0.280677652956055,31,1.63340576658788,48
"MN","Difference",-1.4397424045854,5,-0.520038899673284,15
"MO","2009",0.537709756479701,34,0.372057625048546,29
"MO","2019",0.16723521972136,28,-0.0801085833039808,25
"MO","Difference",-0.734660418124136,13,-0.899823609587215,11
"MS","2009",-2.07152879299081,1,-2.37794059525153,1
"MS","2019",-1.33671321293292,6,-1.28303990893232,5
"MS","Difference",1.87226703858635,49,2.87410579238092,50
"MT","2009",1.12714024145118,44,1.13006224698043,44
"MT","2019",0.502264908093164,37,0.466282550848353,31
"MT","Difference",-1.33009120238903,6,-1.59576944477635,3
"NC","2009",-0.693608425192972,14,0.177053912446855,26
"NC","2019",0.00148000941697403,22,0.414882553586862,30
"NC","Difference",1.24816802130006,45,0.297836281071523,32
"ND","2009",0.93377145873734,41,1.30182715831262,47
"ND","2019",0.154347505890564,27,0.740692385519531,36
"ND","Difference",-1.46404606680751,4,-1.51210620121189,4
"NE","2009",0.569782529406919,36,0.167333679003695,25
"NE","2019",0.318919644505618,32,0.646349261743496,34
"NE","Difference",-0.582420577767211,15,0.688968236397955,39
"NH","2009",1.18649991605368,46,1.23300844241243,45
"NH","2019",1.18091789519775,46,1.02429864520266,46
"NH","Difference",-0.497793834402229,17,-0.914872869375068,10
"NJ","2009",1.5307733991327,49,1.27734058976841,46
"NJ","2019",1.70477340754276,49,1.81083020278154,49
"NJ","Difference",-0.391533867567259,21,0.253803001260864,29
"NM","2009",-1.59838469364573,5,-1.75642384854313,3
"NM","2019",-2.35527032904583,1,-2.13171289778529,2
"NM","Difference",-0.386983876985391,22,0.22525025875966,28
"NV","2009",-1.6466823091165,4,-1.16900877326927,8
"NV","2019",-0.967972331576704,8,-1.27338571077836,6
"NV","Difference",1.61916463411957,48,0.382956270510508,33
"NY","2009",0.10396468881594,20,-0.0550049290303099,20
"NY","2019",-0.167841544800783,16,-0.140800404014458,24
"NY","Difference",-0.418995477429204,20,-0.11161626309034,23
"OH","2009",0.839637730394514,40,0.342320253927563,28
"OH","2019",0.984761748406017,42,0.766160993068808,38
"OH","Difference",-0.146018789460378,24,0.518173137588648,34
"OK","2009",-0.699090651763332,13,-0.962367428517794,10
"OK","2019",-0.941410049584849,10,-0.814981237010318,13
"OK","Difference",-0.0465060627860332,27,0.689199135116679,40
"OR","2009",0.23822196233563,26,0.270127412774323,27
"OR","2019",0.260726093738681,30,-0.296170898285435,18
"OR","Difference",-0.0672596944595422,26,-1.03476834714998,9
"PA","2009",1.17851976011764,45,0.701983622193297,38
"PA","2019",0.360580592101995,33,0.648307074538325,35
"PA","Difference",-1.61842392088517,3,-0.41644743133228,17
"RI","2009",-0.633767760396449,15,-0.670032032416451,14
"RI","2019",-0.0821046025342842,18,-0.950777150431816,11
"RI","Difference",1.02501730181047,44,-0.134578428834392,22
"SC","2009",-1.07136740378894,9,-0.345264873009846,18
"SC","2019",-0.77181650811539,13,-0.83485512607817,12
"SC","Difference",0.856956427918922,39,-0.622165617546566,13
"SD","2009",1.0713493684019,43,1.00795878016208,43
"SD","2019",0.0538294554560191,24,1.00122197658993,45
"SD","Difference",-1.85028570792257,1,-0.48523614737602,16
"TN","2009",-0.455958867156573,18,-1.08794976539287,9
"TN","2019",-0.0132222511708225,21,-0.197230789857782,21
"TN","Difference",0.800871364555231,36,1.93966901044566,49
"TX","2009",-0.55279585022938,17,0.487983266183935,33
"TX","2019",-1.47555869621586,5,-0.270402154599443,19
"TX","Difference",-1.04835025590839,8,-1.4451746269596,6
"UT","2009",0.322398713637098,28,0.142109555076123,23
"UT","2019",1.06503652031747,45,0.632301991792809,33
"UT","Difference",0.894303626652626,41,0.718754489218965,41
"VA","2009",0.330845138761961,29,0.40665432212898,30
"VA","2019",-0.157837094434988,17,0.996478349773329,44
"VA","Difference",-0.812761961369161,11,0.753917379214659,42
"VT","2009",1.44740614430785,48,1.30494747417357,48
"VT","2019",1.29637614786429,47,0.918372861485189,43
"VT","Difference",-0.806790979538943,12,-1.2338027102255,8
"WA","2009",0.544606534949329,35,0.757259274332856,42
"WA","2019",0.816772239422447,40,0.782211899356668,39
"WA","Difference",0.151607519902939,29,-0.316444218530663,18
"WI","2009",0.359438706347101,31,0.680380904034317,37
"WI","2019",1.0576078017483,44,1.27002846261972,47
"WI","Difference",0.817480550818574,37,0.624793429065169,38
"WV","2009",-1.4860149729098,7,-1.66238112342242,4
"WV","2019",-1.50129423129068,4,-1.51893668932812,4
"WV","Difference",0.592642922571802,35,1.01237294935114,45
"WY","2009",0.752699883444619,39,0.411185081825489,31
"WY","2019",0.460907673117443,35,0.868877636339634,42
"WY","Difference",-0.714599841653639,14,0.540014164987908,37
